Subject,title,price,description,features,Order_No,Unit,tokenized_text,stemmed_text,lemmatized_text
tech week dealfashion waterproof backpack   blueksh 889ksh 1 59944 3 3 out of 5 74 ,fashion waterproof backpack   blue,ksh 889,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257137,72,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,chipset integrated with processor,1677257144,73,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,intel hd graphics 5500,1677257144,74,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,11 6 in diagonal led backlit hd  uwva touch  1366 x 768 ,1677257144,75,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,256 gb sata 3 solid state drive,1677257144,76,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,8 gb total system memory  4 gb on motherboard   4 gb dimm ,1677257144,77,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,local area network  lan  integrated intel 1218lm gigabit  network connection  vpro configurations ,1677257144,78,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,integrated 720p hd  webcam,1677257144,79,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,usb 3 0 port  1,1677257144,80,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking stationksh 27 999ksh 32 00013 4 7 out of 5 7 ,hp refurbished elitebook revolve 810 g3 touchscreen core i5 8gb ram 256gb ssd silver  win 10 docking station,ksh 27 999,  shipping from ksh 166 to embakasi east   utawala mihango gsu,microsd media reader slot   supports sd  sdhc  sdxc,1677257144,81,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
