web-scraper-order,web-scraper-start-url,container_link,container_link-href,title,price,description,features,image-src,ratings,ratings-href
"1677257110-68","https://www.jumia.co.ke/computing/","Tech week dealAdvance 64GB Flash Disk - (Silver)+ Free Mk GIFTSKSh 1,250KSh 2,20043%4.3 out of 5(63)","https://www.jumia.co.ke/64gb-flash-disk-silver-free-mk-gifts-advance-mpg376599.html","Advance 64GB Flash Disk - (Silver)+ Free Mk GIFTS","KSh 1,250","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(63 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/AD846EA166X8ANAFAMZ/"
"1677257120-69","https://www.jumia.co.ke/computing/","Tech week dealSandisk HIGH PERFORMANCE 32 Gb Flash DiskKSh 598KSh 95938%4.8 out of 5(21)","https://www.jumia.co.ke/sandisk-high-performance-32-gb-flash-disk-35029199.html","Sandisk HIGH PERFORMANCE 32 Gb Flash Disk","KSh 598","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(21 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/SA949EA1N212TNAFAMZ/"
"1677257129-70","https://www.jumia.co.ke/computing/","Official StoreQwen Wireless Mouse Rechargeable Slient Mouse 2.4GHzKSh 529KSh 89041%4.5 out of 5(343)","https://www.jumia.co.ke/qwen-wireless-mouse-rechargeable-slient-mouse-2.4ghz-47820740.html","Qwen Wireless Mouse Rechargeable Slient Mouse 2.4GHz","KSh 529","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","Ultra-slim design, fashionable and convenient.","null","(343 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA02SSRENAFAMZ/"
"1677257129-71","https://www.jumia.co.ke/computing/","Official StoreQwen Wireless Mouse Rechargeable Slient Mouse 2.4GHzKSh 529KSh 89041%4.5 out of 5(343)","https://www.jumia.co.ke/qwen-wireless-mouse-rechargeable-slient-mouse-2.4ghz-47820740.html","Qwen Wireless Mouse Rechargeable Slient Mouse 2.4GHz","KSh 529","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","Don't disaseemble the prodcut by your self","null","(343 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA02SSRENAFAMZ/"
"1677257137-72","https://www.jumia.co.ke/computing/","Tech week dealFashion Waterproof Backpack - BlueKSh 889KSh 1,59944%3.3 out of 5(74)","https://www.jumia.co.ke/fashion-waterproof-backpack-blue-35055701.html","Fashion Waterproof Backpack - Blue","KSh 889","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(74 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/FA113EA06EINHNAFAMZ/"
"1677257144-73","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Chipset integrated with processor","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-74","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Intel HD Graphics 5500","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-75","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","11.6-in diagonal LED-backlit HD* UWVA Touch (1366 x 768)","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-76","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","256 GB SATA-3 Solid State Drive","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-77","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","8 GB Total System Memory (4 GB on motherboard + 4 GB DIMM)","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
